botanicalName,landscapeCategory,commonName,,family,origin,,shape,size,growthRate,,,landscapeUses,lightRequirements,soilNeeds,waterNeeds,sunsetZone,usdaZone,hardyTo,,flowerInfo,fruitInfo,,,pruningNeeds,,,Notes,Picture,,,,,,,,,,,,,
Rosmarinus officinalis,Shrub,Rosemary,,Lamiaceae,Mediterranean region,,Aromatic evergreen shrub,,,,,Ornamental plant in gardens.,At least 6 to 8 hours of direct sun daily.,"Well-drained, loamy, slightly acidic soil with a pH between 6.0 and 7.0.",Drought-tolerant once established. Prefers soil to dry out between waterings.,,11-Jul,About 15° to 23°F (-10° to -5°C).,,,,,,Regular pruning to maintain a bushy shape. Prune annually before new growth begins in spring. Do not prune more than one-third of the plant at a time.,,,,,,,,,,,,,,,,,
Lavandula angustifolia,Shrub,"Lavender, true lavender, English lavender",,Lamiaceae,Mediterranean basin,,Strongly aromatic shrub.,,,,,Ornamental plant.,"Full sun, at least 6-8 hours of direct sunlight daily.","Well-drained, light, sandy, or gravelly soils. Prefers slightly alkaline pH (6.5-7.5).","Low water consumption. Drought-tolerant. Water young plants regularly, established plants only when the top 2 inches of soil are dry.",,10-May,,,,,,,,,,,"Previously known as `Lavandula officinalis`. Flowers and leaves are used in herbal medicine. Commercially, it is used to produce lavender essential oil. Considered a low flammability plant.",https://commons.wikimedia.org/wiki/File:Starr-110215-1213-Lavandula_angustifolia-habit-KiHana_Nursery_Kihei-Maui_(24780248140).jpg,,,,,,,,,,,,
Salvia leucantha,Perennial,Mexican bush sage,,Lamiaceae,Central and eastern Mexico,,Herbaceous perennial plant with numerous erect stems,,,,,"Leaves are soft mid-green with whitish, hairy undersides. Velvety blue or purple inflorescences.","Ornamental plant. Attracts butterflies, bees, and hummingbirds.","Full sun, at least 6 hours of direct sunlight daily.","Rich, evenly moist, and well-drained soil. Can adapt to clays or sands.","Drought-tolerant once established but performs best with consistent moisture. Water deeply but infrequently, allowing the soil to dry out between waterings.",,10-Aug,,,,,,,,,,Native to subtropical and tropical conifer forests in central and eastern Mexico.,"Received the Royal Horticultural Society's Award of Garden Merit. Low-maintenance plant. The Latin specific epithet ""Leucantha"" means 'white-flowered'. Essential oil rich in sesquiterpene hydrocarbons.",https://commons.wikimedia.org/wiki/File:Salvia_leucantha_-_Mexican_Bush_Sage.jpg,,,,,,,,,,,
Quercus kelloggii,Tree,"California black oak, Kellogg oak",,Fagaceae,Western North America,,"Broad and rounded crown in open areas, narrow in young trees in closed stands, irregularly broad in old trees.",,,,,"Ornamental tree in native plant, drought-tolerant, water-conserving, and habitat gardens.",Full sun. Less shade tolerant than ponderosa pine.,"Deep, fertile loam. Tolerates heavier clay soils. Prefers well-drained soils of medium to coarse texture. Requires acidic soils.",Medium water needs. Drought-tolerant. Young trees require regular watering.,,9-Jul,-20°C,,,,,,,,,, oak woodlands, and coniferous forests.,"Deciduous tree. Pollen is a severe allergen. Acorns were a staple food for many Native American groups. Wood is used for furniture, pallets, and construction timber. Intolerant of root disturbance.",https://commons.wikimedia.org/wiki/File:Quercus_kelloggii_in_Swain_Mountain_Experimental_Forest.jpg,,,,,,,,,,
Arbutus unedo,Evergreen shrub or small tree.,"Strawberry tree, madrone, Irish strawberry tree, cane apple",,Ericaceae,Mediterranean Basin and Western Europe,,Evergreen shrub or small tree.,,,,,Ornamental. Ecological design as a pioneer plant for restoring degraded ecosystems.,"Full sun for best flowering and fruiting, can tolerate light shade.","Well-draining loamy soil, but can tolerate sandy, loamy, or rocky soils. Prefers slightly acidic to neutral pH (around 6.5).",Fairly drought-resistant. Water regularly during dry spells until established.,,10-Jul,Frost-resistant.,,,,,,Minimal pruning is generally needed. Lightly thin and shape the tree after fruiting.,,,,https://commons.wikimedia.org/wiki/File:Arbutus_unedo_habitus.jpg,,,,,,,,,,,,,
Quercus douglasii,Tree,"Blue oak, mountain oak, iron oak",,Fagaceae,California,,,,,,,Provides food and shelter for wildlife.,"Full sun, but can tolerate part shade.","Prefers acidic, well-drained soils and is tolerant of various soil types as long as drainage is sufficient. Particularly well-suited to dry, rocky soils.","Highly drought-tolerant once established. Requires minimal summer watering, approximately once a month.",,,,,,,,,Deep taproot.,,,, common in the Coast Ranges and the foothills of the Sierra Nevada.,"Deciduous oak. Acorns are good-tasting. Wood used for utensils and seedlings for baskets by Native Californians. Commercially, mainly used as firewood. Deer resistant.",https://commons.wikimedia.org/wiki/File:Blue_Oak_(Quercus_douglasii)_in_winter_at_Henry_Coe_State_Park.jpg,,,,,,,,,,,
Arctostaphylos ''Howard McMinn'',Shrub,Howard McMinn Manzanita,,Ericaceae,Hybrid origin,,Medium-sized,,,,,Smooth, dark red bark and narrow, shiny green leaves.,,Full sun to light shade.,Tolerant of various soils.,Tolerant of occasional summer watering.,,,,,,"Small, brick-red berries that mature in the summer and can persist into winter.",,,,,,Considered one of the most dependable and adaptable manzanitas. First introduced in 1955.,,,,,,,,,,,
Artemisia 'Powis Castle',Perennial,'Powis Castle' Artemisia,,Asteraceae,Discovered at Powis Castle in Wales. Hybrid between *Artemisia absinthium* and *Artemisia arborescens*.,,Semi-evergreen perennial shrub,,,,,,"Finely dissected, soft, silvery-gray-green, velvet-lacy textured leaves.","Borders, rock gardens, low-maintenance gardens, Mediterranean gardens, dry gardens, mixed borders and beds with low water requirements, containers. Provides excellent contrast with other flowering perennials and ornamental grasses.",Full sun. Partial shade is acceptable in very hot climates but can reduce compactness.,"Well-drained soils, even poor or sandy types. Susceptible to root rot in moist or waterlogged conditions.",Tolerates heat and drought well.,,,,,,,,,,,,"Aromatic qualities. Leaves release an intense, balsamic, and resinous fragrance when brushed.",https://commons.wikimedia.org/wiki/File:Artemisia_Powis_Castle_1zz.jpg,,,,,,,,,,,
Umbellularia californica,Tree,"California laurel, California bay, Oregon myrtle, pepperwood",,Lauraceae,Native to California and Oregon.,,Large hardwood tree. Evergreen tree.,,,,,"Grown as an ornamental tree, hedge, or windbreak. Ecological design as a pioneer plant for restoring degraded ecosystems.",Full sun to partial or even full shade.,"Well-draining, fertile soils with a slightly acidic to neutral pH. Can tolerate various soil types, including loamy, sandy, or clay soils. Adaptable to serpentine soils. Good drainage is crucial.","Water regularly, allowing the soil to dry out partially between waterings. Can tolerate dry conditions, but performs best with consistent moisture. Reduce watering in winter.",,9-Jul,Frost down to -15°C (5°F).,,,,,,Pruning helps maintain the tree's shape and health. Done in late winter or early spring. Remove dead or diseased branches and thin out crowded areas. Avoid heavy pruning if training as a large shrub.,,,,,,,,,,,,,,,,,
Passiflora caerulea,Vine,"Blue passionflower, bluecrown passionflower, common passion flower",,Passifloraceae,South America,,Vigorous,,,,,"Leaves are palmately lobed, typically with five lobes.",Widely cultivated as a wall-climber or groundcover.,Full sun to partial shade. Requires at least four to six hours of direct sunlight daily.,"Moist but well-drained, loose soil that is rich in organic matter. Soil pH can range from 6.1 to 7.5 (neutral to acidic).","Water regularly during dry weather, especially during the growing season, keeping the soil consistently moist but not waterlogged. Deep watering infrequently. Reduce watering in winter.",,8,,,,,,"Prune in late winter or early spring before new growth begins. Helps to control size and shape, remove dead or damaged growth, and encourage new growth for flowering. Overgrown plants can be renovated by cutting stems back to 30-60cm (1-2ft) from the base, every few years.",,,,,,,,,,,,,,,,,
